QUANTIDADEDEFEITOS;PLANOMNT;PRIODEF;SEALINSPEÇÃO;GRUPO2DEFEITO;EQUIPEEXECUÇÃO;STATUSEXECUÇÃO
1;ALIMENTADOR;P1;SJR01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;estrutura;LV;RETIRADA
1;ALIMENTADOR;A;CET01C4;cruzeta;LV;ACOMPANHAR
1;ALIMENTADOR;P2;CET01C4;cruzeta;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;A;CET01C4;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P2;CET01C4;cruzeta;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;TRU01C7;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;TRU01C7;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;TRU01C7;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;MAR01C6;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MAR01C6;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MAR01C6;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MAR01C6;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;ODA01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;CDO01C7;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;CHT01C3;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C9;árvore;PO;PEND F_PRAZO
